FlexIdGenerator                    2,147,668 ops/s
RotatedAlphabetEncoder encode      1,217,535 ops/s
RotatedAlphabetEncoder decode      1,039,018 ops/s
FixedLengthEncoder encode          1,194,617 ops/s
FixedLengthEncoder decode          960,569 ops/s
HashEncoder encode                 740,791 ops/s
HashEncoder decode                 656,445 ops/s
NativeSerializer serialize         1,191,720 ops/s
NativeSerializer deserialize       1,107,697 ops/s
BCMathSerializer serialize         620,512 ops/s
BCMathSerializer deserialize       635,692 ops/s
GMPSerializer serialize            616,006 ops/s
GMPSerializer deserialize          712,267 ops/s
FixedLengthSerializer serialize    968,916 ops/s
FixedLengthSerializer deserialize  938,436 ops/s
Sparx64Encrypter encrypt           79,083 ops/s
Sparx64Encrypter decrypt           84,607 ops/s
Signer sign                        721,009 ops/s
Signer verify                      658,389 ops/s
